timestamp,moisture_value,moisture_percentage,ph_ph_value,ph_depth,ph_light,ph_temperature,npk_nitrogen,npk_phosphorus,npk_potassium
4/15/2025 15:42,261,75,7.27,2,202,28,51,72,145
4/15/2025 15:42,264,75,7.31,2,202,28,51,72,145
4/15/2025 15:43,272,74,7.46,2,201,28,51,72,145
4/15/2025 15:43,264,75,7.35,2,201,28,51,72,145
4/15/2025 15:43,265,75,7.6,2,201,28,51,72,145
4/15/2025 15:43,272,74,7.35,2,201,28,51,72,145
4/15/2025 15:43,265,75,7.35,2,202,28,51,72,145
4/15/2025 15:43,265,75,7.31,2,202,28,51,72,145
4/15/2025 15:43,263,75,7.31,2,201,28,51,72,145
4/15/2025 15:44,266,74,7.31,2,201,28,51,72,145
4/15/2025 15:44,282,73,7.35,2,201,28,51,72,145
4/15/2025 15:44,264,75,7.35,2,201,28,51,72,145
4/15/2025 15:44,265,75,7.35,2,202,28,51,72,145
4/15/2025 15:44,265,75,7.42,2,202,28,51,72,145
4/15/2025 15:44,265,75,7.31,2,202,28,51,72,145
4/15/2025 15:45,270,74,7.35,2,202,28,51,72,145
4/15/2025 15:45,267,74,7.31,2,201,28,51,72,145
4/15/2025 15:45,265,75,7.35,2,201,28,51,72,145
4/15/2025 15:45,278,73,7.31,2,201,28,51,72,145
4/15/2025 15:45,266,74,7.35,2,201,28,51,72,145
4/15/2025 15:45,282,73,7.35,2,201,28,51,72,145
4/15/2025 15:45,266,74,7.31,2,202,28,51,72,145
4/15/2025 15:46,267,74,7.53,2,202,28,51,72,145
4/15/2025 15:46,268,74,7.31,2,202,28,51,72,145
4/15/2025 15:46,270,74,7.35,2,202,28,51,72,145
4/15/2025 15:46,265,75,7.31,2,201,28,51,72,145
4/15/2025 15:46,267,74,7.35,2,201,28,51,72,145
4/15/2025 15:46,279,73,7.35,2,201,28,51,72,145
4/15/2025 15:47,267,74,7.35,2,201,28,51,72,145
4/15/2025 15:47,271,74,7.31,2,201,28,51,72,145
4/15/2025 15:47,267,74,7.35,2,201,28,51,72,145
4/15/2025 15:47,267,74,7.6,2,201,28,51,72,145
4/15/2025 15:47,269,74,7.35,2,201,28,51,72,145
4/15/2025 15:47,266,74,7.42,2,201,28,51,72,145
4/15/2025 15:47,269,74,7.35,2,201,28,51,72,145
4/15/2025 15:48,266,74,7.35,2,201,28,51,72,145
4/15/2025 15:48,269,74,7.35,2,201,28,51,72,145
4/15/2025 15:48,266,74,7.35,2,202,28,51,72,145
4/15/2025 15:48,271,74,7.31,2,202,28,51,72,145
4/15/2025 15:48,268,74,7.35,2,202,28,51,72,145
4/15/2025 15:48,267,74,7.35,2,202,28,51,72,145
4/15/2025 15:49,269,74,7.35,2,202,28,51,72,145
4/15/2025 15:49,268,74,7.46,2,202,28,51,72,145
4/15/2025 15:49,267,74,7.31,2,202,28,51,72,145
4/15/2025 15:49,267,74,7.35,2,202,28,51,72,145
4/15/2025 15:49,267,74,7.31,2,202,28,51,72,145
4/15/2025 15:49,267,74,7.35,2,202,28,51,72,145
4/15/2025 15:49,271,74,7.31,2,202,28,51,72,145
4/15/2025 15:50,270,74,7.35,2,202,28,51,72,145
4/15/2025 15:50,268,74,7.35,2,202,28,51,72,145
4/15/2025 15:50,273,74,7.31,2,202,28,51,72,145
4/15/2025 15:50,271,74,7.42,2,202,28,51,72,145
4/15/2025 15:50,269,74,7.35,2,201,28,51,72,145
4/15/2025 15:50,269,74,7.38,2,200,28,51,72,145
4/15/2025 15:51,274,74,7.35,2,200,28,51,72,145
4/15/2025 15:51,270,74,7.35,2,200,28,51,72,145
4/15/2025 15:51,269,74,7.35,2,200,28,51,72,145
4/15/2025 15:51,271,74,7.35,2,200,28,51,72,145
4/15/2025 15:51,271,74,7.35,2,201,28,51,72,145
4/15/2025 15:51,270,74,7.35,2,201,28,51,72,145
4/15/2025 15:51,269,74,7.35,2,201,28,51,72,145
4/15/2025 15:52,270,74,7.35,2,201,28,51,72,145
4/15/2025 15:52,271,74,7.31,2,201,28,51,72,145
4/15/2025 15:52,270,74,7.35,2,201,28,51,72,145
4/15/2025 15:52,271,74,7.31,2,201,28,51,72,145
4/15/2025 15:52,270,74,7.35,2,201,28,51,72,145
4/15/2025 15:52,271,74,7.57,2,201,28,51,72,145
4/15/2025 15:52,270,74,7.35,2,201,28,51,72,145
4/15/2025 15:53,273,74,7.6,2,201,28,51,72,145
4/15/2025 15:53,270,74,7.31,2,201,28,51,72,145
4/15/2025 15:53,272,74,7.35,2,201,28,51,72,145
4/15/2025 15:53,269,74,7.31,2,202,28,51,72,145
4/15/2025 15:53,290,72,7.35,2,202,28,51,72,145
4/15/2025 15:53,272,74,7.31,2,202,28,51,72,145
4/15/2025 15:54,273,74,7.35,2,202,28,51,72,145
